latitude,longitude,District,StateName,TotalPopulation,Households,Women,Men,Rural  Urban Classification,Sex ratio of the total population females per 1000 males,Sex ratio at birth for children born in the last five years females per 1000 males,Children under age 5 years whose birth was registered per,Households with electricity per,Households with an improved drinking  water source1 per,Households using improved sanitation facility2 per,Households using clean fuel for cooking3 per,Households using iodized salt per,Women who are literate per,Men who are literate per,Women with 10 or more years of schooling per,Women age 20  24 years married before age 18 years per,Men age 25  29 years married before age 21 years per,Women age 15  19 years who were already mothers or pregnant at the time of the survey per,Mothers who had antenatal check  up in the first trimester per,Mothers whose last birth was protected against neonatal tetanus7 per,Mothers who consumed iron folic acid for 100 days or more when they were pregnant per,Mothers who had full antenatal care8 per,Average out of pocket expenditure per delivery in public health facility Rs,Children born at home who were taken to a health facility for checkup within 24 hours of birth per,Institutional births per,Institutional births in public facility per,Children age 12 to 23 months fully immunized,Children age 12 to 23 months who have received 3 doses of polio vaccine per,Children age 12 to 23 months who have received 3 doses of Hepatitis B vaccine per,Prevalence of diarrhoea reported in the last 2 weeks preceding the survey per,Children with diarrhoea in the last 2 weeks who received oral rehydration salts ORS per,Children with diarrhoea in the last 2 weeks taken to a health facility per,Children under age 3 years breastfed within one hour of birth9 per,Children under age 6 months exclusively breastfed10 per,Children age 6  8 months receiving solid or semi  solid food and breastmilk10 per,Breastfeeding children age 6  23 months receiving an adequate diet1011 per,Non  breastfeeding children age 6  23 months receiving an adequate diet1011 per,Total children age 6  23 months receiving an adequate diet1011 per,Children under 5 years who are stunted height  for  age12 per,Children under 5 years who are wasted weight  for  height12 per,Children under 5 years who are severely wasted weight  for  height13 per,Children under 5 years who are underweight weight  for  age12 per,Women whose Body Mass Index BMI is below normal BMI lesser than 18.5 kg per m214 per,Men whose Body Mass Index BMI is below normal BMI  lesser than 18 point 5 kg per m2 per,Women who are overweight or obese BMI greater than equal to 25 kg per m214 per,Men who are overweight or obese BMI greater than equal to 25.0 kg per m2 per,Children age 6 to 59 months who are anaemic lesser than 11.0 g per dl per,Nonpregnant women age 15 to 49 years who are anaemic lesser than 12.0 g per dl per,Pregnant women age 15 to 49 years who are anaemic lesser than 11.0 g per dl per,All women age 15 to 49 years who are anaemic per,Men age 15 to 49 years who are anaemic  lesser than 13.0 g per dl per
7.1205395,93.7841503,Nicobars,Andaman and Nicobar,42068,813,1019,164,Rural,957,1060,99.3,99.4,99.8,86.8,39.3,99.7,78.8,91.3,43.7,7.3,,3.8,62,92.4,19,16.6,1787,,96.1,96.1,45.5,56.8,44.4,5.1,,,34.9,,,10.2,,9,20.3,7.4,2.3,10.5,4.5,4.6,18.7,31.7,50.5,54.5,,55.1,26.5
12.6519,92.8976,North  & Middle Andaman,Andaman and Nicobar,314084,796,842,128,Rural,951,975,99.6,92.5,90.3,49.8,35.5,99.4,77.9,82.8,39.2,25.9,,6.5,83.7,96.2,45.5,43.5,1082,,95,91.5,89.1,93.6,93.6,4.9,,,43.9,,,18.3,,20.7,32.5,31.7,18.5,33.5,14.5,8.4,30,43.2,47.3,65.1,51.5,64.7,24.8
11.8311681,92.6586401,South Andaman,Andaman and Nicobar,314084,804,950,119,Both,989,794,97,98.7,95.5,83.6,77.3,99.2,86.9,91,53.2,14.7,,3.9,62.5,89.9,67.8,61.6,1279,,97.4,92.2,69.1,82.3,82.3,5.5,,,41.7,,,11.5,,11.9,20.1,15.6,4,18.5,13.4,9.4,33.7,36.5,49.6,67,,67,34.3
14.6818877,77.6005911,Anantapur,Andra Pradesh,4083315,784,795,100,Rural,1000,1196,89.4,99.1,61.3,46.5,65.9,77.8,58.2,86.5,30.8,29.6,,5.2,86.2,88.9,59.6,47,3509,,89.9,46.9,76.3,83.2,79.5,4.4,,,51.3,,,16.3,,16.4,40.3,15.2,4.5,39.3,20.2,20.2,26.5,28.8,53,52.8,,52.7,22.6
13.217176,79.1003289,Chittoor,Andra Pradesh,4170468,773,740,95,Rural,1079,1168,86.4,98.6,65.3,39.7,59.3,83.8,67.7,87.5,39,25.9,,14.7,72,94.7,64.1,45.3,1686,,94,53,67.7,74.6,65.1,2.8,,,45.6,,,3.7,,4.4,31.4,18.1,4.6,32.4,21,16.8,28.5,30.8,46.6,48.4,58.8,48.8,20.3
17.32125,82.0407137,East Godavari,Andra Pradesh,5151549,803,802,125,Rural,927,1008,84.3,99.1,82.1,56.8,50.3,82.3,71.7,83.3,35.5,30.3,,12.8,85.5,94.6,56.6,44.1,1843,,96.9,41.6,60.3,70.3,59.1,12.3,52.3,81.4,42.9,,,6.3,,6.7,27.7,15.3,3,27.1,15.9,12.8,36.4,28,63.1,64.9,56.2,64.6,34.3
16.3066525,80.4365402,Guntur,Andra Pradesh,4889230,789,761,104,Both,1015,637,90.6,99.5,74.9,63.2,79.7,82.5,60.4,76.6,30,39.1,,13.6,82.4,94.6,36.7,32.6,1267,,97.5,35.2,61.7,70.4,68.9,9.7,,,44.3,,,11.8,,10.9,22.1,17.9,9.8,29.1,11.3,15.4,45.1,39,68.1,59,33.6,57.9,24.9
16.6099914,80.7214417,Krishna,Andra Pradesh,4529009,798,836,112,Both,1037,900,83.6,99,70,63.2,73.3,90.5,72.3,88.4,38.8,31.9,,8.9,89,99,70.1,60.7,2183,,96.4,36.8,74.1,74.1,80.8,5.9,,,37.7,,,7.4,,6.2,22.6,20.7,5.1,27.7,13.5,12.4,45.5,46.6,58.1,59.7,,59.4,22.6
15.8281257,78.0372792,Kurnool,Andra Pradesh,4046601,799,899,141,Rural,1021,816,73.3,99.7,81.7,52.9,63.7,74.7,51.8,70.8,24.9,42.9,,12.9,80.7,94.4,52.9,37.3,1310,4.9,75.5,36,66.1,73.7,73.7,2.5,,,32,88.9,,0,,1.4,44.1,18.8,4.7,37.5,21.6,13.6,24.9,31.7,54.5,54.6,51.8,54.5,26.6
15.348463,79.560344,Prakasam,Andra Pradesh,3392764,800,785,102,Rural,1016,799,68.9,97.7,58.2,53.6,65.9,76.4,54.6,74,28.5,44.5,,17.1,73.5,97,48.2,38.2,1616,,91.4,29.2,64,68.3,57.6,11.3,56.9,82.7,30.9,,,7.4,,11.3,28.2,15.3,3.6,30.3,16.9,13.4,32.5,33.6,56.3,57.7,57.9,57.7,23.4
