State,District,Female,Male
Andaman and Nicobar Islands,Nicobars,123,124
Andaman and Nicobar Islands,North & Middle Andaman,99,101
Andaman and Nicobar Islands,South Andaman,89,108
Andhra Pradesh,Anantapur,130,112
Andhra Pradesh,Chittoor,124,106
Andhra Pradesh,East Godavari,112,113
Andhra Pradesh,Guntur,76,117
Andhra Pradesh,Krishna,93,107
Andhra Pradesh,Kurnool,167,199
Andhra Pradesh,Prakasam,124,157
Andhra Pradesh,Sri Potti Sriramulu Nellore,135,121
Andhra Pradesh,Srikakulam,116,124
Andhra Pradesh,Visakhapatnam,94,93
Andhra Pradesh,Vizianagaram,119,135
Andhra Pradesh,West Godavari,82,99
Andhra Pradesh,Y.S.R.,112,161
Arunachal Pradesh,Anjaw,138,128
Arunachal Pradesh,Changlang,149,155
Arunachal Pradesh,Dibang Valley,126,96
Arunachal Pradesh,East Kameng,213,216
Arunachal Pradesh,East Siang,102,101
Arunachal Pradesh,Kurung Kumey,236,211
Arunachal Pradesh,Lohit,184,213
Arunachal Pradesh,Lower Dibang Valley,131,164
Arunachal Pradesh,Lower Subansiri,105,102
Arunachal Pradesh,Papumpare,291,340
Arunachal Pradesh,Tawang,123,121
Arunachal Pradesh,Tirap,151,168
Arunachal Pradesh,Upper Siang,88,81
Arunachal Pradesh,Upper Subansiri,162,184
Arunachal Pradesh,West Kameng,137,137
Arunachal Pradesh,West Siang,101,112
Assam,Baksa,188,200
Assam,Barpeta,209,231
Assam,Bongaigaon,176,203
Assam,Cachar,184,192
Assam,Chirang,200,187
Assam,Darrang,210,221
Assam,Dhemaji,200,232
Assam,Dhubri,213,250
Assam,Dibrugarh,154,164
Assam,Dima Hasao,203,215
Assam,Goalpara,212,245
Assam,Golaghat,158,161
Assam,Hailakandi,210,222
Assam,Jorhat,125,169
Assam,Kamrup,164,177
Assam,Kamrup Metropolitan,98,129
Assam,Karbi Anglong,186,228
Assam,Karimganj,248,266
Assam,Kokrajhar,160,185
Assam,Lakhimpur,179,182
Assam,Morigaon,246,237
Assam,Nagaon,216,214
Assam,Nalbari,154,175
Assam,Sivasagar,154,158
Assam,Sonitpur,142,152
Assam,Tinsukia,169,193
Assam,Udalguri,171,192
Bihar,Araria,349,370
Bihar,Arwal,313,336
Bihar,Aurangabad,246,275
Bihar,Banka,274,344
Bihar,Begusarai,339,359
Bihar,Bhagalpur,338,372
Bihar,Bhojpur,287,331
Bihar,Buxar,306,333
Bihar,Darbhanga,334,328
Bihar,Gaya,384,416
Bihar,Gopalganj,284,288
Bihar,Jamui,345,388
Bihar,Jehanabad,250,299
Bihar,Kaimur (Bhabua),297,329
Bihar,Katihar,278,340
Bihar,Khagaria,365,388
Bihar,Kishanganj,331,361
Bihar,Lakhisarai,327,348
Bihar,Madhepura,372,421
Bihar,Madhubani,315,316
Bihar,Munger,250,275
Bihar,Muzaffarpur,261,277
Bihar,Nalanda,265,302
Bihar,Nawada,296,299
Bihar,Pashchim Champaran,279,323
Bihar,Patna,545,563
Bihar,Purba Champaran,341,373
Bihar,Purnia,358,385
Bihar,Rohtas,296,334
Bihar,Saharsa,370,390
Bihar,Samastipur,328,312
Bihar,Saran,285,303
Bihar,Sheikhpura,369,353
Bihar,Sheohar,319,370
Bihar,Sitamarhi,331,337
Bihar,Siwan,295,303
Bihar,Supaul,376,411
Bihar,Vaishali,312,375
