State,WHZ_SeverarlyWasted,WHZ_ModeratelyWasted,WHZ_Normal
Andaman and Nicobar Islands,82,74,488
Andhra Pradesh,348,327,2453
Arunachal Pradesh,769,512,3685
Assam,1388,1000,7921
Bihar,4881,2835,17721
Chandigarh,14,14,166
Chhattisgarh,1565,1381,6337
Dadra and Nagar Haveli,59,57,206
Daman and Diu,59,50,298
Delhi,231,157,1192
Goa,48,65,303
Gujarat,1518,1169,5043
Haryana,1288,1101,5493
Himachal Pradesh,373,286,2270
Jammu and Kashmir,1075,649,6521
Jharkhand,2741,1850,7613
Karnataka,1708,1048,5033
Kerala,253,298,1911
Lakshadweep,28,31,249
Madhya Pradesh,4849,3587,16175
Maharashtra,1721,1397,6283
Manipur,387,304,4945
Meghalaya,626,429,3354
Mizoram,585,278,4042
Nagaland,573,328,3706
Odisha,1836,1446,7824
Puducherry,164,132,785
Punjab,626,538,4052
Rajasthan,2909,2306,11617
Sikkim,113,120,772
Tamil Nadu,1333,1066,5523
Telangana,331,276,1820
Tripura,141,164,1025
Uttar Pradesh,7156,4052,30543
Uttarakhand,925,739,4161
West Bengal,699,673,3956
