Latitude,Longitude,State,District,Stunting,Wasting,Underweight
10.3871439,84.1352968,AN,Nicobars,20.3,7.4,10.5
11.8311681,92.6586401,AN,North  & Middle Andaman,32.5,31.7,33.5
12.6518832,92.8976254,AN,South Andaman,20.1,15.6,18.5
15.8281257,78.0372792,AP,Anantapur,40.3,15.2,39.3
14.2580848,79.9192702,AP,Chittoor,31.4,18.1,32.4
18.1066576,83.3955506,AP,East Godavari,27.7,15.3,27.1
16.61,80.7214,AP,Guntur,22.1,17.9,29.1
18.2969747,83.8967813,AP,Krishna,22.6,20.7,27.7
17.32125,82.0407137,AP,Kurnool,44.1,18.8,37.5
14.6818877,77.6005911,AP,Prakasam,28.2,15.3,30.3
15.348463,79.560344,AP,Sri Potti Sriramulu Nellore,29.4,16.9,28.7
14.5767233,78.8382644,AP,Srikakulam,28,15.6,28.7
17.6868159,83.2184815,AP,Visakhapatnam,30.1,17.2,33.1
16.3066525,80.4365402,AP,Vizianagaram,36.8,18.8,34.4
13.217176,79.1003289,AP,West Godavari,28.5,14.7,30.1
16.9174181,81.3399414,AP,Y.S.R.,36.3,17.9,34.4
27.1719019,93.7029002,AR,Anjaw,21,18.3,10.4
26.9942703,95.5407299,AR,Changlang,23.5,16,20.1
27.9039651,96.1739116,AR,Dibang Valley,38.8,7.8,14.9
27.7421763,96.642433,AR,East Kameng,42,15.1,20.5
27.786802,94.3359635,AR,East Siang,21,18.1,16.9
27.7995361,93.5538411,AR,Kurung Kumey,38.9,23.2,26.1
28.1428728,95.8431018,AR,Lohit,27,21.4,23.9
28.1097051,95.1432068,AR,Lower Dibang Valley,22.3,21.7,15.4
28.081623,96.5221684,AR,Lower Subansiri,35.1,23.9,21.8
27.4231261,93.0175712,AR,Papumpare,25.3,9.5,11.6
28.147254,94.7484518,AR,Tawang,20.5,19.4,8.1
28.7588781,95.2266675,AR,Tirap,39.7,25.2,35
28.8128767,96.1526985,AR,Upper Siang,24.6,29.4,21.5
27.6169349,93.8391557,AR,Upper Subansiri,28.3,12.3,12.2
27.3427633,92.302446,AR,West Kameng,27.3,7.2,11.6
27.5780678,91.8757422,AR,West Siang,34.7,19.2,21.3
24.8649128,92.3591531,AS,Baksa,32.4,10.5,22.4
