Date,State,District,Latitude,Longitude,Households,Women,Men,Rural_Urban Classification,Population _female_ age 6 years and above who ever attended school,Population below age 15 years,"Sex ratio of the total population _females per 1,000 males_","Sex ratio at birth for children born in the last five years _females per 1,000 males_",Children under age 5 years whose birth was registered __,Households with electricity __,Households with an improved drinking_water source1 __,Households using improved sanitation facility2 __,Households using clean fuel for cooking3 __,Households using iodized salt __,Households with any usual member covered by a health scheme or health insurance __
01-06-2015,UP,Meerut,28.9844618,77.7064137,2446,3334,433,Both,68.2,31.1,930,858,60.6,95.9,99.5,67.1,64.1,97,8
01-06-2015,UP,Bareilly,28.3670355,79.4304381,1855,2506,345,Both,55.1,33.8,979,1071,55.6,69.6,99,54.3,44.1,95.1,4.8
01-06-2015,UP,Firozabad,27.1591961,78.3957331,1830,2506,369,Both,67.3,33.9,961,850,54.8,85.5,96.4,33.6,36.3,95.4,2.6
01-06-2015,MP,Ujjain,23.1793013,75.7849097,1888,2489,383,Both,63.9,28.9,968,1059,85.3,97.4,91.4,51.9,46.5,98.2,10.3
01-06-2015,UP,Moradabad,28.8386481,78.7733286,1816,2487,363,Both,57.2,34.3,973,908,62.9,79,99.6,51.6,44.5,96.4,2.6
01-06-2015,UP,Saharanpur,29.967079,77.5510172,1831,2487,341,Both,65.3,32.9,954,906,74.7,93.4,99.3,51,37.6,98.2,3.1
01-06-2015,UP,Aligarh,27.8973944,78.0880129,1836,2477,348,Both,63.8,33.9,932,880,61.2,84.6,97.8,38.4,39.6,93.8,4.5
01-06-2015,RJ,Bikaner,28.0229348,73.3119159,1860,2456,338,Both,61.5,32,957,984,64.7,91.5,86.2,64.8,39.7,90.3,7.9
01-06-2015,UP,Agra,27.1766701,78.0080745,1811,2448,357,Both,67.4,32.7,941,991,66.9,94.5,71.3,42.8,46.7,94.8,5
01-06-2015,UP,Varanasi,25.3176452,82.9739144,1783,2442,369,Both,69.3,30.4,951,939,61.8,88.4,96,48.8,48.6,97.3,8.3
01-06-2015,BR,Patna,25.5940947,85.1375645,1888,2441,375,Both,67.9,33.6,964,1017,66.8,86.6,98.8,49.9,51.7,98.7,9.4
01-06-2015,MP,Hoshangabad,22.744108,77.736967,1902,2435,363,Both,70.7,26.2,928,958,93.2,94.4,91.1,46.4,34.4,99.4,27.1
01-06-2015,MP,Indore,22.7195687,75.8577258,1935,2412,388,Urban,75.3,27.6,895,849,92.2,99.1,98.4,74.2,84.9,99.8,15.7
