State,District,Households,Women,Men,Rural_Urban_Classification,Population _female_ age 6 years and above who ever attended school,Population below age 15 years,"Sex ratio of the total population _females per 1,000 males_","Sex ratio at birth for children born in the last five years _females per 1,000 males_",Children under age 5 years whose birth was registered __,Households with electricity __,Households with an improved drinking_water source1 __,Households using improved sanitation facility2 __,Households using clean fuel for cooking3 __,Households using iodized salt __,Households with any usual member covered by a health scheme or health insurance __,num
UP,Meerut,2446,3334,433,Both,68.2,31.1,930,858,60.6,95.9,99.5,67.1,64.1,97,8,1
UP,Bareilly,1855,2506,345,Both,55.1,33.8,979,1071,55.6,69.6,99,54.3,44.1,95.1,4.8,1
UP,Firozabad,1830,2506,369,Both,67.3,33.9,961,850,54.8,85.5,96.4,33.6,36.3,95.4,2.6,1
MP,Ujjain,1888,2489,383,Both,63.9,28.9,968,1059,85.3,97.4,91.4,51.9,46.5,98.2,10.3,1
UP,Moradabad,1816,2487,363,Both,57.2,34.3,973,908,62.9,79,99.6,51.6,44.5,96.4,2.6,1
UP,Saharanpur,1831,2487,341,Both,65.3,32.9,954,906,74.7,93.4,99.3,51,37.6,98.2,3.1,1
UP,Aligarh,1836,2477,348,Both,63.8,33.9,932,880,61.2,84.6,97.8,38.4,39.6,93.8,4.5,1
RJ,Bikaner,1860,2456,338,Both,61.5,32,957,984,64.7,91.5,86.2,64.8,39.7,90.3,7.9,1
UP,Agra,1811,2448,357,Both,67.4,32.7,941,991,66.9,94.5,71.3,42.8,46.7,94.8,5,1
UP,Varanasi,1783,2442,369,Both,69.3,30.4,951,939,61.8,88.4,96,48.8,48.6,97.3,8.3,1
BR,Patna,1888,2441,375,Both,67.9,33.6,964,1017,66.8,86.6,98.8,49.9,51.7,98.7,9.4,1
MP,Hoshangabad,1902,2435,363,Both,70.7,26.2,928,958,93.2,94.4,91.1,46.4,34.4,99.4,27.1,1
MP,Indore,1935,2412,388,Urban,75.3,27.6,895,849,92.2,99.1,98.4,74.2,84.9,99.8,15.7,1
CT,Korba,1859,2378,316,Both,69.4,28.8,1022,961,81.6,93.9,80.2,34.3,26.5,99.4,62.3,1
RJ,Ajmer,1854,2335,314,Both,64.7,29.2,953,761,82.6,98.4,86.2,69.4,50.6,96.9,14.7,1
RJ,Jaipur,1816,2334,326,Both,68.5,29,920,883,68.3,98,93.7,58.1,54.6,96.6,28.9,1
MP,Gwalior,1886,2325,359,Both,68.8,28.1,887,858,83.5,95.5,97.1,56.2,57.3,97.6,15.9,1
UT,Hardwar,1785,2321,308,Both,69,31.9,929,921,69.9,97.8,99.1,56.9,46.2,96.5,6.4,1
MP,Burhanpur,1892,2307,335,Both,64.3,30.6,951,901,78.9,90.7,93.7,40,45.1,99.1,40.4,1
MN,Thoubal,1841,2302,294,Both,77.5,29.3,1062,978,63.5,85.1,33.9,45.5,37,99.8,4,1
UP,Ghaziabad,1808,2281,344,Both,74.1,30.3,899,907,69.9,97.4,84.9,64.8,78.5,98.8,10.7,1
CT,Durg,1811,2269,315,Both,75.3,26.7,997,880,88.8,99.1,98.3,44.7,36.4,99.4,68.3,1
RJ,Jodhpur,1839,2265,290,Both,58,31.9,952,870,68.4,91.3,76.9,52.6,44.8,88.6,17.6,1
MN,Bishnupur,1850,2257,271,Both,79.9,27.7,1032,915,69.3,96.4,43.9,38.2,38.8,99.8,4.2,1
CT,Raipur,1838,2251,280,Both,70.3,28.7,1004,998,89.6,98,95.1,38.6,34.7,99.3,58.5,1
UT,Udham Singh Nagar,1770,2245,290,Both,68.3,31.1,941,948,70.8,96.1,97.6,56.2,52.6,96.3,10.3,1
MN,Imphal East,1820,2232,283,Both,83.1,28.6,1057,874,75.9,96.9,32.2,43.4,50.1,99.7,6.1,1
UP,Gautam Buddha Nagar,1811,2194,347,Both,75.3,32.4,844,845,72.9,98.6,63.6,54.5,76.3,99.4,19.2,1
OR,Jharsuguda,1861,2189,294,Both,74.7,22.8,986,1007,94.1,91.8,91.3,40.3,28,98.7,43,1
JH,Dhanbad,1815,2181,302,Both,66.3,29.3,947,929,68.4,95.9,78.9,28.6,20.5,98.4,10.8,1
OR,Sundargarh,1810,2175,253,Both,69.9,25.1,1041,1036,79.3,86,89.3,37.9,24.6,98.2,50.8,1
ML,East Khasi Hills,1788,2173,265,Both,90.3,34,1027,922,84.9,95.3,85.8,65.6,43.1,99.3,24.4,1
UT,Nainital,1789,2170,264,Both,80.1,28.8,1005,854,78.2,98.6,95.9,73,62.8,95.1,13.4,1
RJ,Kota,1846,2156,351,Both,70.4,26.7,942,829,75.9,98.1,96.9,50.5,60,98,23.6,1
CT,Koriya,1850,2131,326,Both,66,29.1,1010,957,77.4,90.7,74.3,24.5,18.7,98.8,63.4,1
MN,Imphal West,1838,2129,269,Both,87,26.7,1095,1017,66.5,97.2,53.8,47.3,63.2,99.5,3.7,1
MP,Jabalpur,1799,2106,309,Both,76.8,26.1,955,924,92.8,94.6,96.6,47.5,48.5,91.2,36.3,1
JH,Ramgarh,1756,2100,269,Both,67.5,30.7,1000,971,60,94.9,67.8,39.3,17.8,97.6,21.7,1
MZ,Saiha,1782,2097,246,Both,90.4,33.8,990,962,96.9,99.4,92.4,80.1,58.7,99.8,53.5,1
JH,Bokaro,1759,2092,275,Both,63.8,29.4,975,926,65,87.3,79.8,35.8,26.8,98.8,15.6,1
UT,Dehradun,1828,2032,231,Both,79.9,24.1,936,832,87.4,99.4,99.5,75.6,84.9,99.1,31.2,1
SK,East,1853,2028,345,Both,80.3,23,957,709,97.8,99.1,98.2,83.6,70.7,99.7,26.6,1
MZ,Champhai,1841,1999,280,Both,94.6,32.7,1009,1009,98.1,99.8,97.4,87.3,52.2,99,58.3,1
NL,Dimapur,1800,1993,222,Both,83.6,30.7,1032,1053,72.6,98.7,78.8,65.3,66.6,99.8,4.7,1
UP,Jhansi,1732,1955,253,Both,64.8,25.4,946,815,81.7,88.9,96.1,45.9,40.8,86.2,5.8,1
JH,Purbi Singhbhum,1739,1952,280,Both,70.1,25.8,1001,890,85.4,91.5,90.2,43.4,40.4,99,19.8,1
TR,West Tripura,1816,1938,318,Both,84.8,22.3,996,1002,95.5,96.1,97.2,68.9,42,99.2,49.7,1
UP,Kanpur Nagar,1796,1901,309,Both,78.4,24.8,889,944,65,85.9,99.2,65.2,70.8,95.9,4.9,1
UP,Lucknow,1709,1862,251,Both,77.7,25.3,919,870,79.4,93.5,98.9,66.9,76.1,95.6,5.9,1
MZ,Lunglei,1717,1825,229,Both,91.7,28.2,944,836,99.6,99.1,94,77.7,52.2,99.6,52.2,1
OR,Khordha,1729,1822,212,Both,79.7,24.6,980,965,88.3,96.4,84.6,47,46.2,94.5,38,1
NL,Kohima,1797,1787,215,Both,86.2,28.8,1000,1137,79.1,99.4,79.8,69.1,55.6,99.3,5.3,1
AR,Papumpare,1649,1779,224,Both,77.3,30.2,978,793,75.7,98.9,91.5,68,84.3,99.1,46.6,1
MZ,Serchhip,1738,1770,249,Both,95.9,30.7,944,939,99.6,99.6,96.5,92,66.3,99.5,69.4,1
JH,Ranchi,1673,1761,247,Both,70.5,27.6,960,1026,76.2,92.2,75,37.8,39.1,98.4,6.5,1
MZ,Kolasib,1697,1660,231,Both,93.1,30.3,998,996,98.8,99,97.2,87.5,71.5,99.3,61.8,1
BR,Gaya,950,1443,158,Rural,56.2,39.4,1076,945,56.2,71.2,96.7,26.8,15.6,98.6,2.8,1
CT,Narayanpur,933,1434,213,Rural,58.3,32.6,1094,869,92,77.6,92.5,15.6,11.8,99.7,81.4,1
MP,Alirajpur,947,1430,203,Rural,35.9,40,1023,950,55.6,92.5,89.1,17.6,11.7,93.9,3.3,1
